player 18.5 21.5 270
sky 0

enemy zombieman
    36 20
    39.5 16
    40 14
    36.5 8.5
    42 43.5
    26 11
    26 16
    21 16
    18.5 13
    15.5 15.5

    12.5 9.5
    6.5 2.5
    8.5 7.5
    10 11.5
    7.5 18.5
    9.5 18.5

    14.5 23.5
    10.5 27.5
    14.5 31.5

    9.5 41.5
    12.5 41.5
    15.5 41.5
enemy end

pickup stimpack
    40 23
    40.1 22.5
    25.5 12.5
    22.5 5.5

    13.5 15.5
    13.5 16
    13.5 16.5
pickup end

pickup armor_blue
    37 8
    8.5 17.5
pickup end

pickup medikit
    36.2 8.5
    31.6 10.8

    7.5 2.5
    6.5 5.5
    8.5 9.5
    12.5 9.5

    15.5 23.5
    15.5 31.5
    12.5 38.5
pickup end

pickup shotgun
    33.5 11.7
pickup end

pickup shells
    34 10
    23 5.5

    10.5 27.3
    10.2 27.6
    10.8 27.5
pickup end
